SystemBuyPrice,NetImbalanceVolume,Date,Time
45.32,-140.64166666666668,2024-09-09,00:00:00
60.12,-5.233333333333333,2024-09-09,00:30:00
102.5,19.522222222222226,2024-09-09,01:00:00
49.44,-87.35833333333333,2024-09-09,01:30:00
104.0,263.65833333333336,2024-09-09,02:00:00
102.5,77.30424833333333,2024-09-09,02:30:00
53.97,-19.86666361111111,2024-09-09,03:00:00
53.97,-20.398333333333333,2024-09-09,03:30:00
52.12,-194.1642857142857,2024-09-09,04:00:00
52.45,-134.27026337301587,2024-09-09,04:30:00
103.0,16.60902777777778,2024-09-09,05:00:00
58.0,-45.14110763888889,2024-09-09,05:30:00
65.01,-5.1470416666666665,2024-09-09,06:00:00
119.48,263.00854444444445,2024-09-09,06:30:00
125.15,543.2739139551768,2024-09-09,07:00:00
119.58,223.80278229166663,2024-09-09,07:30:00
104.0,150.23992212301587,2024-09-09,08:00:00
103.5,94.3534539814815,2024-09-09,08:30:00
103.5,288.3267578347578,2024-09-09,09:00:00
65.5,-13.5309126984127,2024-09-09,09:30:00
59.0,-226.92912762017585,2024-09-09,10:00:00
59.0,-284.1338113095238,2024-09-09,10:30:00
55.0,-145.40921925296925,2024-09-09,11:00:00
10.0,-532.5194444444444,2024-09-09,11:30:00
1.75,-416.85833333333335,2024-09-09,12:00:00
1.75,-415.63373015873015,2024-09-09,12:30:00
91.0,229.3098373015873,2024-09-09,13:00:00
103.5,387.04675,2024-09-09,13:30:00
100.0,301.23966666666666,2024-09-09,14:00:00
104.0,604.8027060019841,2024-09-09,14:30:00
105.0,540.4345496235246,2024-09-09,15:00:00
130.0,574.1531438798702,2024-09-09,15:30:00
118.8,60.139633485449735,2024-09-09,16:00:00
60.0,-179.34734286044974,2024-09-09,16:30:00
60.0,-260.32409970698814,2024-09-09,17:00:00
61.11,-61.98292083333333,2024-09-09,17:30:00
61.0,-153.81768654761905,2024-09-09,18:00:00
59.0,-296.3557113333464,2024-09-09,18:30:00
0.0,-507.55759001984126,2024-09-09,19:00:00
12.0,-192.6090566359265,2024-09-09,19:30:00
90.9,0.8936743029100528,2024-09-09,20:00:00
51.0,-171.18212506795635,2024-09-09,20:30:00
104.0,130.346367010582,2024-09-09,21:00:00
104.0,174.5446164021164,2024-09-09,21:30:00
109.0,686.2586706349207,2024-09-09,22:00:00
105.0,478.601533,2024-09-09,22:30:00
105.0,667.6302342908695,2024-09-09,23:00:00
104.0,173.50844450392003,2024-09-09,23:30:00
104.0,323.1346529398148,2024-09-10,00:00:00
